Response,Gold_Standard
7,7
15,13
0,8
15,15
0,15
16,16
0,3
15,15
13,13
6,13
6,3
0,0
6,2
16,16
11,11
0,5
6,7
15,2
0,3
0,15
6,7
13,13
16,16
16,16
13,13
0,8
6,0
0,9
6,13
1,1
0,12
0,12
13,15
0,10
5,5
15,15
7,7
3,3
0,3
0,8
0,3
6,0
0,12
3,3
6,15
11,0
0,8
12,12
6,13
5,5
16,16
16,10
4,4
16,16
6,13
5,5
16,16
8,17
3,0
0,15
0,15
5,5
0,15
0,12
5,5
6,6
13,13
13,13
0,12
15,15
13,15
13,13
6,3
8,10
0,8
6,13
6,3
13,13
0,12
3,3
0,12
0,15
16,10
6,10
0,17
6,14
1,8
5,5
6,14
15,15
6,0
0,1
0,0
3,3
0,10
16,16
14,14
15,15
0,10
0,14
6,15
0,10
0,3
0,3
3,3
0,2
2,2
0,8
6,7
0,9
0,15
4,8
13,15
15,15
15,15
0,0
6,12
13,15
9,0
16,16
13,15
3,16
16,9
6,0
0,15
15,15
16,10
15,15
0,9
