label,precision,recall,f1
0,0.8378378378378378,0.5904761904761905,0.6927374301675978
15,0.7297297297297297,0.8181818181818182,0.7714285714285715
13,0.8484848484848485,0.8235294117647058,0.8358208955223881
7,0.7692307692307693,0.9090909090909091,0.8333333333333333
17,nan,0.0,nan
8,0.5555555555555556,0.7142857142857143,0.6250000000000001
10,0.5909090909090909,0.65,0.6190476190476191
5,0.3333333333333333,1.0,0.5
9,0.5,0.16666666666666666,0.25
16,0.3333333333333333,0.42857142857142855,0.375
12,0.6875,0.7857142857142857,0.7333333333333334
2,0.5833333333333334,1.0,0.7368421052631579
3,0.5,0.42857142857142855,0.4615384615384615
6,0.75,0.75,0.75
1,0.3333333333333333,0.5,0.4
11,0.6,1.0,0.7499999999999999
4,0.75,1.0,0.8571428571428571
14,1.0,1.0,1.0
