Response,Gold_Standard
7,7
13,13
8,8
12,15
13,15
16,16
3,3
12,15
13,13
13,13
3,3
12,0
12,2
16,16
9,11
3,5
7,7
2,2
3,3
12,15
7,7
7,13
16,16
3,16
12,13
8,8
7,0
10,9
13,13
1,1
12,12
12,12
13,15
10,10
5,5
15,15
7,7
3,3
3,3
8,8
3,3
3,0
4,12
3,3
1,15
4,0
9,8
12,12
13,13
5,5
10,16
10,10
4,4
8,16
13,13
5,5
10,16
8,17
3,0
12,15
10,15
5,5
12,15
8,12
5,5
6,6
7,13
7,13
12,12
12,15
13,15
13,13
3,3
8,10
8,8
13,13
3,3
13,13
10,12
3,3
8,12
0,15
10,10
10,10
16,17
12,14
1,8
5,5
6,14
12,15
0,0
10,1
0,0
3,3
8,10
3,16
12,14
12,15
8,10
3,14
6,15
10,10
3,3
3,3
3,3
2,2
2,2
8,8
7,7
9,9
12,15
8,8
12,15
12,15
12,15
12,0
12,12
13,15
3,0
16,16
3,15
3,16
9,9
3,0
3,15
12,15
10,10
11,15
9,9
