Response,Gold_Standard
7,7
15,13
8,8
15,15
13,15
16,16
3,3
15,15
13,13
13,13
6,3
9,0
15,2
16,16
11,11
5,5
9,7
15,2
3,3
15,15
9,7
13,13
16,16
16,16
13,13
8,8
9,0
10,9
13,13
1,1
12,12
12,12
15,15
10,10
5,5
15,15
7,7
3,3
3,3
0,8
3,3
5,0
4,12
3,3
15,15
0,0
9,8
12,12
13,13
5,5
16,16
16,10
4,4
16,16
13,13
5,5
16,16
8,17
3,0
15,15
10,15
5,5
15,15
8,12
5,5
6,6
13,13
13,13
13,12
15,15
13,15
13,13
3,3
8,10
0,8
13,13
3,3
13,13
12,12
3,3
12,12
15,15
16,10
16,10
16,17
15,14
1,8
5,5
14,14
15,15
9,0
1,1
9,0
3,3
0,10
3,16
15,14
15,15
8,10
15,14
15,15
17,10
3,3
3,3
3,3
2,2
2,2
8,8
9,7
16,9
15,15
4,8
15,15
15,15
15,15
15,0
9,12
13,15
3,0
16,16
11,15
3,16
16,9
3,0
15,15
15,15
16,10
15,15
3,9
